artist,beg_1mfcc_mean,beg_1mfcc_std,beg_2mfcc_mean,beg_2mfcc_std,beg_3mfcc_mean,beg_3mfcc_std,beg_4mfcc_mean,beg_4mfcc_std,beg_5mfcc_mean,beg_5mfcc_std,beg_amp1,beg_amp2,beg_amp_max_folded,beg_beat_strength,beg_centroid_mean,beg_centroid_std,beg_flow_mean,beg_flow_std,beg_intrvl_peaks_folded,beg_lowenergy,beg_per1,beg_per2,beg_per_max_folded,beg_per_max_unfolded,beg_pitch_strength,beg_ratio_amp1_amp2,beg_rolloff_mean,beg_rolloff_std,beg_zrc_mean,beg_zrc_std,end_1mfcc_mean,end_1mfcc_std,end_2mfcc_mean,end_2mfcc_std,end_3mfcc_mean,end_3mfcc_std,end_4mfcc_mean,end_4mfcc_std,end_5mfcc_mean,end_5mfcc_std,end_amp1,end_amp2,end_amp_max_folded,end_beat_strength,end_centroid_mean,end_centroid_std,end_flow_mean,end_flow_std,end_intrvl_peaks_folded,end_lowenergy,end_per1,end_per2,end_per_max_folded,end_per_max_unfolded,end_pitch_strength,end_ratio_amp1_amp2,end_rolloff_mean,end_rolloff_std,end_zrc_mean,end_zrc_std,mid_1mfcc_mean,mid_1mfcc_std,mid_2mfcc_mean,mid_2mfcc_std,mid_3mfcc_mean,mid_3mfcc_std,mid_4mfcc_mean,mid_4mfcc_std,mid_5mfcc_mean,mid_5mfcc_std,mid_amp1,mid_amp2,mid_amp_max_folded,mid_beat_strength,mid_centroid_mean,mid_centroid_std,mid_flow_mean,mid_flow_std,mid_intrvl_peaks_folded,mid_lowenergy,mid_per1,mid_per2,mid_per_max_folded,mid_per_max_unfolded,mid_pitch_strength,mid_ratio_amp1_amp2,mid_rolloff_mean,mid_rolloff_std,mid_zrc_mean,mid_zrc_std,song,freq_fin,weights_fin
Magic!,728.1502171610001,100.491757465,149.90250759399999,45.2894368048,3.82432586514,18.088055385,16.3845093225,16.299768407200002,-4.73203249425,16.534229232999998,0.327590158053,0.198964752979,442010291.0,158090925.49899998,2864.11621094,398.534912109,1.95279109478,0.0456653237343,4,0.479999989271,153,122,9,40.5363746714,2111162127.0,0.60735876243,112001.0,24016.0800781,0.0377150923014,0.008138747885819999,718.2715652589999,83.2330692458,168.691876259,31.2037464602,20.8266393538,20.4621934046,25.0181826853,10.5787187435,4.91595547299,17.9832773332,0.0932579506497,0.0699769275841,565327819.0,88897213.2718,1624.39038086,368.33947753900003,1.82798337936,0.162190333009,1,0.6399999856949999,165,155,4,53.0382167797,2467008870.0,0.750358839075,41196.8671875,14329.759765600002,0.0209577232599,0.00298283086158,886.623771349,44.8509830022,170.778670771,22.659408406500006,-11.954248231700001,18.508681938,28.0247307627,16.9253296547,-10.287513612,15.020299301800003,0.414409119894,0.123400704158,1691660183.0,1283607570.24,2526.60791016,53.0056877136,2.01881313324,0.0116679565981,4,0.439999997616,153,136,9,53.136862861400004,9466584785.0,0.297775068727,83155.6640625,3095.9440918,0.0375640206039,0.0014553344808499998,One Woman One Man,pop,reggae
Five For Fighting,716.3664619489999,55.1913963291,185.75755115799998,29.4033663331,-28.1805241896,15.7313518016,-0.799303422158,22.9505367927,2.9867683251700003,27.1768294052,0.136300513444,0.123112331556,349007376.0,108462596.475,2077.43896484,312.41516113299997,1.98626983166,0.0393224917352,5,0.519999980927,199,138,4,53.136862861400004,1410201486.0,0.903241876683,60931.93359380001,12085.9033203,0.036704659462,0.00113367056474,731.986183007,155.599130938,146.15399165899998,49.9857953154,-0.538512050101,34.8622564243,20.169947124300002,33.158056938,-1.3676057125,18.7598689967,0.384529853394,0.221405372421,561034137.0,209686625.803,2466.640625,720.820495605,2.12961244583,0.0900283381343,5,0.600000023842,198,197,9,69.1176381004,2832100579.0,0.5757820113750001,79595.53125,33340.640625,0.032601762563,0.0051981145516,906.6787795739999,38.2894856089,162.54339881,25.533828583200002,-34.7843304794,15.3615571844,46.628689593999994,13.1202442039,-12.5709530859,13.656164893699998,0.164255630085,0.161479977986,1411584928.0,486823568.9,3061.9855957,47.2600822449,1.9667750597,0.007413434796039999,5,0.519999980927,151,114,9,69.1176381004,7897627486.0,0.983101631905,107508.39843800002,1609.66870117,0.051534794271,0.00101391086355,100 Years,rock,rock
Five For Fighting,663.998221273,73.1704360035,172.586495369,33.8035736292,20.0275984009,22.731536868699997,8.02956327851,22.0756594641,-13.0940992529,24.9584810771,0.330229433734,0.206153596763,95611218.0,83363020.4795,2944.47094727,217.461257935,2.05693125725,0.038222964853,9,0.600000023842,197,196,2,49.901578144300004,568639186.0,0.624273840256,116672.0,22613.3574219,0.032774604857,0.00267213070765,590.320989208,106.123286614,163.439414404,62.7419019407,27.6499150296,29.2065881116,14.911458186900001,29.8849837228,7.70899935476,15.7905926641,0.123302347399,0.114562476505,68370267.0,34456276.8631,1831.0144043,678.6555175780001,2.02222585678,0.0389281436801,10,0.439999997616,76,74,11,62.1955128873,401606466.0,0.929118373833,55548.53515619999,33005.605468799986,0.0207250192761,0.00240643601865,870.5101767289999,83.7920651937,147.59101667299998,30.725870713899997,-32.321554858,25.830390340700003,54.113784926899996,19.5572735712,-15.836188303399998,15.742454035,0.140868489405,0.104190295779,533248191.0,80611076.9937,3528.6574706999995,168.222061157,2.0341222286200003,0.0118242930621,7,0.40000000596,114,103,4,67.3066226724,3983953514.0,0.7396281185320001,116660.46875,5883.38525391,0.07015147060160001,0.0032142284326300004,Superman,rock,rock
Five For Fighting,830.049603374,66.9899879,162.881304831,29.3411636561,-26.976947258200003,19.165701607,31.8723529353,26.158329783499997,-10.2718907259,21.7699652592,0.383818638474,0.379560692935,879377645.0,575284739.6880001,2578.80834961,98.6775054932,1.99460041523,0.0152027728036,7,0.319999992847,187,140,4,64.2798908618,4313436802.0,0.98890636068,85465.46875,5095.8671875,0.0438430830836,0.00332840974443,859.972201039,160.080911948,148.097617558,43.7913638648,-19.4430638559,27.3192820071,29.700267283200002,30.440917984899997,-17.2365619711,20.199157511099997,0.213562652973,0.160868002552,2321318887.0,782076801.255,3059.36547852,37.0145378113,2.06540727615,0.00848451629281,7,0.439999997616,196,140,4,76.33149251100001,11916643023.0,0.7532590568269999,111127.53125,1095.03759766,0.0483768209815,0.00878965295851,975.059972947,27.9311287692,146.641366571,11.6565942255,-36.8222962352,9.47812355999,56.355403996099994,10.075730029099999,-29.9898710579,10.5627267284,0.314871381093,0.279484630119,2285439634.0,916337394.335,3412.69018555,32.806396484400004,2.06806898117,0.0059184548445,2,0.360000014305,187,140,4,64.33149251100001,15186637169.0,0.887615219739,125146.92968800002,1566.65917969,0.0694913566113,0.00224291207269,What If,rock,rock
Nickelback,853.47770991,70.1390882841,143.32295421700002,34.915783589499995,-35.28747343,18.8449081953,34.9790116842,24.282013486300002,-10.839494806900001,25.502788898600002,0.243197781086,0.11583577585,430179721.0,215587692.417,3871.00512695,240.479370117,1.95990896225,0.0253192279488,2,0.600000023842,184,160,4,66.0002609639,3135787960.0,0.47630276614,134492.53125,7113.38134766,0.0761983394623,0.00634028716013,836.0282682330002,164.853907467,138.044228475,55.094108467299996,-52.0523488486,27.8140314937,25.6756220498,28.3757684596,6.20532418913,24.9531030972,0.14723185444700002,0.147185013641,904930097.0,-307268203.075,2982.89648438,41.731830596900004,2.05859851837,0.0505191758275,5,0.360000014305,199,161,6,66.27874965779999,4803811063.0,0.999681856852,87614.46875,1645.5579834,0.06533363461490001,0.00689385831356,951.528888612,18.2178367244,144.513821481,13.6892715006,-66.173996433,8.9816922413,52.144769334399996,8.019094662839999,-9.55236076943,9.89661179635,0.39289985791,0.159178461008,740556618.0,256718313.16,3110.17675781,86.1334991455,2.03385591507,0.007682693190869999,2,0.479999989271,161,135,6,76.2021988519,6561373696.0,0.405137486827,93686.53125,6002.14550781,0.0775629132986,0.00129993155133,How You Remind Me,rock,rock
Nickelback,894.428399919,59.91031414,127.044920029,26.946679983200003,-47.761530942700006,16.3560076062,65.56054695510001,17.9138971538,-18.0157624346,15.9599403873,0.386467264458,0.123351398687,750575270.0,130759034.45,4184.77001953,41.665283203099996,2.00539159775,0.0165768116713,5,0.439999997616,150,136,1,65.8120814971,3643036582.0,0.319176836,128144.0,2373.44165039,0.08837238699200001,0.007252169307319999,819.825422518,187.219403868,116.94063998200001,49.3999188004,-33.741307108200004,43.4691326579,48.360111814,27.393004390100003,-5.645233502459999,21.569804018699998,0.357032107025,0.348669770638,717776569.0,-111014321.85,4201.68115234,142.693389893,2.1076681613900003,0.0237453151494,5,0.5600000023839999,199,198,6,68.2358005145,4369724269.0,0.976578195005,126482.46875,4289.04296875,0.07995535433289999,0.0190161708742,926.459831369,34.522400952699996,126.37753785700001,22.677411789,-44.5666706493,14.3860541944,78.2652277436,14.1340825852,-19.6261819318,14.875003198800002,0.425578768595,0.218323218792,1040172338.0,436082417.135,4276.34082031,74.1777572632,2.06678676605,0.0394011028111,1,0.40000000596,150,136,8,68.48079055310001,6790010614.0,0.5130030793429999,129257.203125,2018.94189453,0.08797138184310001,0.0015681877266600002,Photograph,rock,rock
Nickelback,836.8017280910001,56.0831846476,148.872305746,31.84645307,-45.0536094,21.868785141799997,37.1390087371,19.1823857787,-15.223334727100001,19.2160392352,0.210232385103,0.1456881847,205459646.0,106308285.934,3623.82202148,139.641098022,2.03903746605,0.0247043464333,5,0.479999989271,143,135,4,52.0195500087,1294110137.0,0.69298640468,123455.0,4561.57666016,0.07192330807450001,0.0041597164236,906.721068711,39.3490092453,155.205825429,27.2345728005,-64.2811585251,19.2857427657,33.3179319881,20.892797883,-23.9791564674,15.3254258765,0.244537826943,0.195955643045,462371139.0,78539700.6376,3438.24267578,274.14855957,2.0218808651,0.0148482583463,5,0.72000002861,179,135,4,60.800068433199996,3052446112.0,0.801330597783,111437.66406199998,8506.52734375,0.0801211372018,0.005699584260579999,876.9130004110001,44.7389627925,141.398638144,24.619957588400002,-47.9537979417,20.4772676953,45.5660369465,17.5418782667,-18.386126905799998,18.9159084787,0.374220315506,0.194531722045,312964449.0,129835707.566,3685.75878906,57.764041900600006,2.06981539726,0.0204264950007,1,0.6399999856949999,135,127,4,64.2281349474,1831210957.0,0.519832072135,118943.86718800002,3352.01123047,0.07945487648249999,0.00186791084707,Rockstar,rock,rock
Beatles,705.178500225,90.88145314120001,145.297003883,29.0492645952,5.49157560666,52.9843131347,73.6479487573,27.8407838235,33.4915252483,22.595775664899996,0.229361321926,0.167758112919,2246597904.0,584093180.78,2315.80004883,244.36053466799999,2.06775856018,0.0190181490034,5,0.5600000023839999,162,152,2,74.1371238253,6719997437.0,0.7314141351729999,80693.203125,12014.3173828,0.0161109603941,0.00109722127672,770.51081348,76.416537086,144.497671622,29.547487158000003,-36.6197022017,29.1929415669,75.2746571882,25.9553312781,8.50002084474,18.5238768828,0.292892883479,0.279157031752,3859520988.0,154919291.56,2568.48779297,34.1033782959,1.82605600357,0.0567843019962,1,0.40000000596,198,197,2,74.71233755,6359152107.0,0.953102815048,89371.1328125,510.82467651400003,0.0232854615897,0.000574548204895,791.627927959,82.3339878904,175.997051497,41.7079624697,-34.2605170445,37.1861017858,63.957635355600004,30.6266980917,4.3770097328,20.188202544,0.281990709634,0.219236287576,2453027752.0,487135539.285,2288.78613281,69.3683319092,2.09606337547,0.062093526125,5,0.479999989271,154,123,2,74.4558537405,5432983428.0,0.7774592569419999,78601.6640625,2270.64770508,0.026755353435900003,0.00236848299392,Come Together,rock,rock
Eminem,759.2136237010001,85.0315685221,148.877002312,36.403136665,-15.389603069000001,37.920011922,4.32196840199,22.5120055608,-3.89089878496,18.0092319127,0.158122857373,0.0689201998551,253202520.0,153308897.728,3399.67114258,94.3885345459,1.99410641193,0.00891239009798,4,0.6399999856949999,157,80,1,49.175079641,1437273655.0,0.435864877476,123422.86718800002,6539.41748047,0.0637188181281,0.00532122934237,894.623590603,127.982038495,149.331031995,34.1865321835,-50.8294941175,18.2363140862,29.9724294178,29.5802488802,-15.217543031199998,16.8751020841,0.302498796818,0.1276925165,1140332065.0,595100991.902,3726.48657227,390.275878906,1.99413919449,0.00675317086279,5,0.439999997616,186,163,6,61.3595823517,5746139648.0,0.422125700477,128515.46875,16475.7773438,0.07743723690510003,0.0121390344575,903.326321495,61.4132146542,150.28381732,32.2726544679,-54.9449184517,19.6842620432,38.2855876506,17.8065509199,-13.9304368542,22.7329523098,0.437570027671,0.275678058323,536812078.0,1338693964.9,3692.80981445,41.8878059387,1.98506557941,0.0075646238401499985,5,0.40000000596,186,163,6,49.7825925179,3964416282.0,0.630020433051,126310.203125,1060.49682617,0.08608425408600001,0.0016363539034499998,Love The Way You Lie,hip hop,hip hop
Eminem,703.576934845,79.1570891458,166.852817314,29.6232352305,3.2956957204900004,36.6530962239,38.299227494,23.1672141098,-6.316340047790001,15.8010515502,0.226033120251,0.196178671878,202853359.0,32656143.8912,2889.52416992,356.1480102540001,2.11131978035,0.0636314675212,1,0.5600000023839999,197,189,7,67.1321895545,738986371.0,0.867920027209,92760.796875,7488.7265625,0.0363792404532,0.00767751177773,785.620833375,177.394803688,111.75745337299999,53.3803999706,-34.9767767692,26.7933785505,36.7405545139,26.7762608412,-23.057327239699998,16.3883480608,0.408344675753,0.291798449386,294631796.0,204996305.62,4000.03466797,137.367370605,1.93128824234,0.0081471176818,1,0.319999992847,137,103,7,48.15641287,1862896313.0,0.714588598095,139095.140625,5370.85644531,0.0806956887245,0.0137849133462,861.6608302980002,42.0159541937,148.26232180899999,29.4484862788,-41.684871866900004,16.0060521586,44.3851049679,18.9989996489,-16.3053767479,17.7545579353,0.293912014717,0.283576708178,228402928.0,186319456.529,3506.34887695,155.999298096,1.98184466362,0.015885904431300002,4,0.479999989271,137,103,3,75.2964237108,1879330481.0,0.964835372421,126084.07031199998,4306.52148438,0.0694438889623,0.00422122096643,Monster,hip hop,hip hop
Fra Lippo Lippi,668.9121084459999,65.13423034819999,203.97527152,25.621300896199998,4.60523194093,28.502710730500002,1.8365155226400005,28.218516881,6.30939217589,19.3975273945,0.15078874452,0.137861875915,151298236.0,106398961.107,1530.89465332,490.22912597699997,1.92063271999,0.0376849882305,10,0.519999980927,119,115,1,66.1400652808,789933300.0,0.914271661019,44235.1992188,16224.176757799998,0.0223689600825,0.00186755263712,700.423685138,84.188329505,181.92796640400002,30.695836231799998,-2.97161994677,42.0743166492,12.6335564427,25.351551560700003,-2.00219338737,18.7091532076,0.110673122442,0.07731877956399999,214657054.0,80536183.6693,2114.38964844,277.169128418,1.96086299419,0.0125795342028,5,0.439999997616,161,160,6,50.137123825299994,1028141340.0,0.698622916366,62991.66796880001,9982.2421875,0.0353599376976,0.00598276033998,731.529812521,65.5665484792,189.474879582,22.3730081893,-19.5789214168,30.0637352088,18.8555542988,22.8035435084,-7.15150514781,18.0014356245,0.155142251957,0.117523667858,187251188.0,123728796.246,2058.04418945,145.042770386,2.01777911186,0.0157606378198,10,0.519999980927,124,120,1,51.914307493100004,1216391685.0,0.75752199272,60124.93359380001,6487.33642578,0.0350352227688,0.0015752685722,Beauty And Madness,pop,new wave
Fra Lippo Lippi,847.9594228389999,90.00367688809997,187.455996434,42.843908539699996,-42.7659409566,18.4513451377,48.1503898264,22.7780374921,-15.0876971696,15.8971074166,0.295278858323,0.215648900887,525927439.0,168793402.889,2771.19262695,242.312515259,2.02747774124,0.0120204007253,3,0.439999997616,164,108,4,69.6941288949,3465243702.0,0.7303228619609999,94033.8671875,10147.6552734,0.049351878464199986,0.00484554842114,841.6507530260001,122.98043764399999,173.876845853,43.449636713900006,-58.6505751297,21.9284757636,35.6848179875,24.083972190300003,-15.808636141,15.214068211199999,0.292809573776,0.202841920132,652070686.0,106567662.627,2918.41894531,92.5488739014,1.9888651371,0.0140513982624,7,0.280000001192,144,108,4,52.124156613900006,3494190204.0,0.692743469812,97094.3359375,2970.70629883,0.06766107678410001,0.00234588002786,881.130769876,34.751266101,187.438770529,21.959031051500002,-51.5611627497,15.2752426044,46.6741422293,17.4420481395,-14.1552304839,15.508547182000001,0.202024493702,0.172896268526,863109059.0,198179882.181,2684.45458984,89.856918335,1.97240018845,0.00711207417771,7,0.600000023842,172,108,4,52.637913616300004,4476967057.0,0.855818348346,91254.6015625,3256.45019531,0.054009068757300015,0.00303273252212,Everytime ISee You,pop,new wave
Fra Lippo Lippi,819.4342910139999,54.0787193144,164.206503709,21.7961705199,-33.9838338939,18.3611160004,51.419274593599994,19.7683234205,-10.943471313699998,18.9321314288,0.348200029765,0.283144847964,315057791.0,429303464.452,2887.91503906,73.5254516602,1.99241709709,0.014058194123200002,2,0.6399999856949999,177,147,9,72.6413840914,1805892827.0,0.8131672135570001,99374.8671875,2568.66357422,0.0485112629831,0.0014993675286,733.2052100430002,139.16431471299998,135.55862296,45.049800491999996,-24.2971033396,26.838910142899998,41.2148651951,25.685695075399998,-10.7569133777,20.3087417231,0.315504330949,0.27343758325,159523433.0,174727667.694,3261.10131836,121.12802887,2.00261616707,0.0350233316422,2,0.519999980927,197,177,9,69.6941288949,1043206277.0,0.866668240107,111767.86718800002,4356.62304688,0.0643069818616,0.0027743438258800005,859.4691268160001,37.5344588098,171.287628552,20.2592523553,-49.0398549511,16.1427480232,52.88269497939999,17.0634398059,-21.5918469942,18.3548002258,0.34451368924099995,0.312540625011,453850574.0,590486694.175,2664.0847168,40.6621398926,1.99754226208,0.0115410089493,9,0.72000002861,177,147,11,35.6236834377,3840711301.0,0.907193631984,91389.0,1952.61499023,0.0598120428622,0.00121262820903,Stitches And Burns,pop,new wave
